Gene_ID,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000069011.10,PITX1,5.645674869,18.68428555,0.3237929593,4.769657585,0.3663672031,13.01878974,9.57E-39,2.69E-34
ENSG00000170689.8,HOXB9,2.542841495,8.723280511,0.02021332575,4.760790025,0.4560170797,10.43993797,1.63E-25,2.29E-21
ENSG00000180818.4,HOXC10,2.801117363,9.515087862,0.06072124061,4.573976434,0.4500769457,10.16265436,2.91E-24,2.72E-20
ENSG00000005073.5,HOXA11,1.968120815,6.790016813,0,4.704004551,0.4641987615,10.13359996,3.92E-24,2.75E-20
ENSG00000253293.3,HOXA10,3.490951038,11.39924263,0.2630769182,4.273310612,0.4246457431,10.06323667,8.03E-24,4.51E-20
ENSG00000128710.5,HOXD10,2.571228206,8.771584074,0.04047070917,4.602450782,0.4597006936,10.01184215,1.35E-23,6.33E-20
ENSG00000151615.3,POU4F2,3.275094764,10.65474879,0.2629910789,3.962234866,0.3994323237,9.919665063,3.42E-23,1.37E-19
ENSG00000106031.6,HOXA13,2.456714139,8.02965272,0.182045331,4.16589885,0.4225018125,9.860073322,6.20E-23,2.18E-19
ENSG00000128709.10,HOXD9,2.226868536,7.186919798,0.2023578161,3.657288226,0.414984131,8.813079713,1.22E-18,3.80E-15
ENSG00000175879.7,HOXD8,1.709837506,5.601476941,0.1214132472,3.86684022,0.4418130029,8.752210086,2.09E-18,5.88E-15
ENSG00000106004.4,HOXA5,2.198025114,7.08753252,0.202307805,3.879624361,0.4477084539,8.665515085,4.49E-18,1.11E-14
ENSG00000152779.12,SLC16A12,55.42203664,167.6663979,9.608011637,3.513877491,0.4057807775,8.659546448,4.74E-18,1.11E-14
ENSG00000113196.2,HAND1,1.939326182,6.244745112,0.1820123335,3.703297111,0.4341470715,8.530052036,1.46E-17,3.16E-14
ENSG00000171540.6,OTP,3.203560344,9.169070101,0.7686584023,2.99853816,0.3563328662,8.414991835,3.93E-17,7.88E-14
ENSG00000056736.5,IL17RB,1311.101222,2144.334132,971.0061566,1.392757088,0.1710010422,8.144728652,3.80E-16,7.12E-13
ENSG00000163817.11,SLC6A20,173.0365778,433.2822255,66.81386452,2.355393001,0.2976144088,7.914243839,2.49E-15,4.37E-12
ENSG00000197757.7,HOXC6,1.32180997,4.411567164,0.06068458398,3.608890689,0.4599100191,7.846949488,4.26E-15,7.04E-12
ENSG00000112303.9,VNN2,25.74519701,62.90119014,10.57948553,2.490891037,0.3192111142,7.803271648,6.03E-15,9.20E-12
ENSG00000183943.5,PRKX,604.749605,900.2916355,484.1202048,1.419148852,0.1819572989,7.799351057,6.22E-15,9.20E-12
ENSG00000180229.8,HERC2P3,1987.225167,3987.179721,1170.917186,2.068672846,0.2663708737,7.766137556,8.09E-15,1.14E-11
